RegionName,StateName,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
"Charlotte, NC",NC,345500,339900,335000,339000,340000,349990,359000,359825,357605,349950,341990,337500,330000,327129,325000,325000,335000,345000,350000,359900,358900,350000,348000,342900,341999,340000,344500,344606,350000,359000,349900,364000,375000
"Sacramento, CA",CA,459000,459900,460000,466000,475126,485000,490000,494900,485000,479000,475000,460000,459000,454000,455000,465000,479000,499000,499950,510690,524900,524900,519000,509900,499999,499990,515000,519000,529000,532687,519900,525000,539000
"San Antonio, TX",TX,280000,279900,280000,279990,280000,289000,296264,299000,299000,295000,285500,283000,279999,280000,281000,279999,279900,285000,289999,294900,294000,289900,285000,284900,279999,279000,278185,278500,280000,289000,289900,294000,299990
"Orlando, FL",FL,300000,299900,299900,299900,309000,319500,325000,325000,325000,324900,319900,315000,309900,300000,299900,299900,300000,310000,320000,325000,325000,325000,325000,325000,325000,325000,324900,324000,329000,330000,315000,319900,325000
"Cincinnati, OH",OH,227500,223000,215000,215000,229900,249500,264900,269900,265000,259900,249900,245000,239900,237000,229900,229900,249900,269900,279000,289000,288900,285000,279000,272070,265000,259900,259000,264900,284900,299900,299900,325000,339000
"Cleveland, OH",OH,164999,163500,159900,159900,164900,169900,179500,179900,185000,185000,179990,179900,179900,175000,174900,174900,179900,184950,192000,199500,199900,199000,190000,189900,187000,179900,179900,179900,184900,196960,199900,209900,219900
"Kansas City, MO",MO,249950,254000,250000,259950,269500,277300,275000,276526,275000,271000,269900,276700,295000,289950,295000,304900,320000,334950,339000,339900,329900,319950,309900,309000,305000,300000,300961,319900,332500,349000,349500,360000,369950
"Las Vegas, NV",NV,289900,289990,294900,295000,295000,299888,329000,349900,350000,349500,345000,332000,325000,320000,319999,315000,310000,314995,319000,324000,325000,325000,324900,320000,320000,320000,321000,325000,335000,346000,329000,328000,335000
"Columbus, OH",OH,250000,249611,249900,260000,290000,299900,312990,319990,315000,309000,294900,279900,274900,268600,259900,264000,284900,309900,321000,325000,325000,325000,305000,294900,279990,279000,275000,289500,305000,316000,319900,339500,349900
"Indianapolis, IN",IN,214000,211900,209000,211750,224900,244900,285000,288000,280000,272500,259000,249900,239900,229999,229900,230000,245000,269900,285000,289900,285000,279900,274900,272000,264990,259500,252500,259999,273964,285000,289900,299900,317449
"San Jose, CA",CA,1050000,1075000,1050000,1068888,1160000,1199950,1250000,1280000,1249250,1199500,1149888,1100000,1098000,1049000,998000,998888,1098000,1100000,1138000,1175000,1150000,1100000,1099000,1099000,1098880,1085000,1016175,1095000,1188800,1199000,1149000,1190000,1239000
